"Económica  483",,,,,,,,,,,,,
"Ordenación:  Nº reg. justificante ",,,,,,,,,,,,,
Descripción,"Nif Proveedor","Nombre Proveedor","Importe Total",,,,,,,,,,
"BECAS PROGRAMA ERASMUS 2012-2",00000006Y,"BECAS DIVERSAS","8,893,275.62",,,,,,,,,,
"Ayudas programa europeo Tempus",00000006Y,"BECAS DIVERSAS","2,400.00",,,,,,,,,,
"BECAS ERASMUS MUNDUS MASTER",00000006Y,"BECAS DIVERSAS","81,017.56",,,,,,,,,,
"BECAS ALUMNOS *IN* PROGRAMA",00000006Y,"BECAS DIVERSAS","406,576.48",,,,,,,,,,
"BECAS ALUMNOS *OUT* PROGRAMA",00000006Y,"BECAS DIVERSAS","157,776.82",,,,,,,,,,
"MARSH SA, DE BRUSELAS,",BE0403276906,"MARSH, S.A.","12,515.31",,,,,,,,,,
"BECA DEL MINISTERIO.",00000006Y,"BECAS DIVERSAS","1,360.00",,,,,,,,,,
"BECA SCHOLAR",00000006Y,"BECAS DIVERSAS","14,400.00",,,,,,,,,,
"BECA STAFF",00000006Y,"BECAS DIVERSAS","2,500.00",,,,,,,,,,
"SEGUROS DE VIAJE ACE",W0067389G,"ACE EUROPEAN GROUP LIMITED, ENTIDAD ASEGURADORA","7,671.42",,,,,,,,,,
"Transferencia a la Central  European University",HU018118463241,"CENTRAL EUROPEAN UNIVERSITY","43,650.00",,,,,,,,,,
"TRANSFERENCIA A LA  GEORG AUGUST UNIVERSITAT GOETTINGEN",DE152336197,"GEORG AUGUST UNIVERSITAT GOETTINGEN","21,900.00",,,,,,,,,,
"Transferencia a la Universidad de Lund",SE202100321101,"LUNDS UNIVERSITET","8,000.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD ABDELMALE",4,"MONEDA EXTRANJERA","3,000.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD SIDI MOHA",4,"MONEDA EXTRANJERA","6,000.00",,,,,,,,,,
"Transferencia a la Universidad de Barcelona",Q0818001J,"UNIVERSIDAD DE BARCELONA","51,000.00",,,,,,,,,,
"TRANSFERENCIA A LA Universidad de Bolonia",IT01131710376,"UNIVERSIDAD DE BOLONIA","112,075.00",,,,,,,,,,
"TRANSFERENCIA A LA Universidad de Graz",AT000057511277,"UNIVERSIDAD DE GRAZ","73,975.00",,,,,,,,,,
"Transferencia a la Universidad de Lodz",PL007240003243,"UNIVERSIDAD DE LODZ","36,450.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD DE OVIEDO",Q3318001I,"UNIVERSIDAD DE OVIEDO","41,749.86",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD ILLES BAL",Q0718001A,"UNIVERSIDAD ILLES BALEARS","3,590.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD DE COIMBRA",PT501617582,"UNIVERSIDADE DE COIMBRA","45,650.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSITÁ DEGLI STUDI DI PADOVA",IT00742430283,"UNIVERSITA DEGLI STUDI DI PADOVA","39,000.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD DE POTIERS",FR003198608564,"UNIVERSITE DE POITIERS","155,500.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSITE DE SAINT ETIENNE",FR37194210951,"UNIVERSITE DE SAINT ETIENNE","312,250.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSITE LIBRE DE BRUXELLES",BE407626464,"UNIVERSITE LIBRE DE BRUXELLES","3,000.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSITEIT UTRECHT",NL001798650B01,"UNIVERSITEIT UTRECHT","51,430.00",,,,,,,,,,
"TRANSFERENCIA A LA UNIVERSIDAD DE HULL",GB686772376,"UNIVERSITY OF HULL","28,900.00",,,,,,,,,,
