"Económica  485",,,,,,,,,,,,,
"Ordenación:  Nº reg. justificante ",,,,,,,,,,,,,
Descripción,"Nif Proveedor","Nombre Proveedor","Importe Total",,,,,,,,,,
"Cuota anual a Asociación Andaluza de Soc",G91801050,"ASOCIACION ANDALUZA DE SOCIOLOGIA",300.00,,,,,,,,,,
"FINANCIACION PREMIO CONCURSO CIENCIA EN",G65264178,"ASOCIACION CIENCIA EN ACCION","1,500.00",,,,,,,,,,
"Pago de la cuota por pertenecer a la UNE",G78510898,"ASOCIACION DE EDITORIALES UNIVERSITARIAS","2,500.00",,,,,,,,,,
"Cuota anual Asociación Española de Cienc",G80511777,"ASOCIACION ESPAÑOLA DE CIENCIA POLITICA",300.00,,,,,,,,,,
"CUOTA AECA 2013",G28729218,"ASOCIACION ESPAÑOLA DE CONTABILIDAD Y AD",400.00,,,,,,,,,,
"CUOTA SOCIO AEDOM 2013",G80747603,"ASOCIACION ESPAÑOLA DE DOCUMENTACION MUS",90.00,,,,,,,,,,
"CUOTA SOCIO ATIC 2013 - Asociación Españ",G93240034,"ASOCIACION ESPAÑOLA DE UNIVERSIDADES CON",300.00,,,,,,,,,,
"75% AYUDA I CONVOCATORIA DE PROYECTOS UN",G18234583,"ASOCIACION GITANA ANAQUERANDO DE GRANADA","1,125.00",,,,,,,,,,
"CANTIDAD PROVENIENTE DE LA JUNTA DE ANDA",G18946426,"ASOCIACION GRANADA UNIVERSIADA DE INVIER","175,532.25",,,,,,,,,,
"Ayuda celebración I Jornada de Reflexión",G19503291,"ASOCIACION PARA LA DEFENSA DE LA SANIDAD",700.00,,,,,,,,,,
"Ayuda jornadas de orientacion",G18889568,"ASOCIACION PARA LAS DIFUSION DEL PATRIMO",773.99,,,,,,,,,,
"AYUDA I CONVOCATORIA DE PROYECTOS UNIVER",G18750844,"ASOCIACION SOLIDARIA ANDALUZA DE DESARRO","2,250.00",,,,,,,,,,
"75% AYUDA I CONVOCATORIA DE PROYECTOS UN",G19513936,"ASOCIACION TEJIENDO REDES:  FORMACION E","2,250.00",,,,,,,,,,
"Pago a la Tuna de Arquitectura Técnica,",G18627463,"ASOCIACION TUNA ARQUITECTURA TECNICA",500.00,,,,,,,,,,
