NACIONALIDAD , VARONES , MUJERES , TOTALES 
ALEMANIA , 0 , 50 , 50 
AUSTRIA , 0 , 6 , 6 
BELGICA , 1 , 12 , 13 
CANADA , 0 , 3 , 3 
CHECOSLOVAQUIA , 0 , 10 , 10 
CHIPRE , 0 , 1 , 1 
COREA DEL SUR , 0 , 2 , 2 
DINAMARCA , 0 , 8 , 8 
EE. UU. DE AMERICA , 0 , 55 , 55 
ESPANA , 118 , 114 , 232 
FINLANDIA , 0 , 6 , 6 
FRANCIA , 0 , 47 , 47 
GRECIA , 0 , 2 , 2 
HOLANDA (PAISES BAJO , 0 , 9 , 9 
IRLANDA (EIRE) , 0 , 9 , 9 
ITALIA , 0 , 34 , 34 
MARRUECOS , 6 , 10 , 16 
MEXICO , 0 , 1 , 1 
POLONIA , 0 , 6 , 6 
PORTUGAL , 0 , 2 , 2 
REINO UNIDO , 0 , 44 , 44 
SUECIA , 0 , 5 , 5 
SUIZA , 0 , 2 , 2 
TURQUIA , 0 , 1 , 1 
U. R. S. S. , 0 , 9 , 9 
UCRANIA , 0 , 1 , 1 
YUGOSLAVIA , 0 , 1 , 1 
SIN ESPECIFICAR , 4 , 4 , 8 
