NACIONALIDAD , VARONES , MUJERES , TOTALES 
AFGANISTAN , 4 , 5 , 9 
ALEMANIA , 14 , 116 , 130 
ANDORRA , 1 , 1 , 2 
ARABIA SAUDITA , 0 , 1 , 1 
ARGENTINA , 5 , 5 , 10 
AUSTRALIA , 0 , 3 , 3 
AUSTRIA , 3 , 17 , 20 
BELGICA , 2 , 25 , 27 
BRASIL , 2 , 2 , 4 
BULGARIA , 3 , 3 , 6 
CANADA , 1 , 4 , 5 
CHECOSLOVAQUIA , 2 , 10 , 12 
CHILE , 3 , 0 , 3 
CHINA (REP. POPULAR) , 0 , 2 , 2 
CHINA (TAIWAN) , 0 , 1 , 1 
CHIPRE , 0 , 1 , 1 
COLOMBIA , 4 , 0 , 4 
CONGO(REP. POPULAR) , 0 , 1 , 1 
COREA DEL SUR , 0 , 3 , 3 
CUBA , 1 , 2 , 3 DINAMARCA , 0 , 12 , 12 
EE. UU. DE AMERICA , 4 , 64 , 68 
EGIPTO , 2 , 1 , 3 
EMIRATOS ARABES , 0 , 1 , 1 
ESLOVAQUIA , 2 , 4 , 6 
ESPANA , 22506 , 29482 , 51988 
FILIPINAS , 1 , 0 , 1 
FINLANDIA , 0 , 12 , 12 
FRANCIA , 6 , 146 , 152 
GABON , 1 , 0 , 1 
GRECIA , 2 , 7 , 9 
GUINEA ECUATORIAL , 5 , 0 , 5 
HOLANDA (PAISES BAJO , 1 , 25 , 26 
HUNGRIA , 0 , 1 , 1 
INDIA , 1 , 0 , 1 
IRAK , 1 , 1 , 2 
IRAN , 0 , 3 , 3 
IRLANDA (EIRE) , 0 , 18 , 18 
ISRAEL , 6 , 0 , 6 
ITALIA , 14 , 80 , 94 
JAPON , 2 , 6 , 8 
JORDANIA , 5 , 1 , 6 
LIBANO , 9 , 0 , 9 
LIBIA , 1 , 2 , 3 
MALASIA , 0 , 1 , 1 
MARRUECOS , 420 , 401 , 821 
MAURICIO (ISLAS) , 1 , 0 , 1 
MEXICO , 0 , 5 , 5 
NIGERIA , 1 , 0 , 1 
NORUEGA , 0 , 4 , 4 
PERU , 4 , 3 , 7 
POLONIA , 4 , 20 , 24 
PORTUGAL , 2 , 5 , 7 
REINO UNIDO , 10 , 103 , 113 
REP. CENTRO AFRICANA , 0 , 1 , 1 
REPUBLICA CHECA , 1 , 5 , 6 
RUMANIA , 6 , 18 , 24 
SENEGAL , 1 , 0 , 1 
SIRIA , 3 , 0 , 3 
SUECIA , 0 , 11 , 11 
SUIZA , 2 , 7 , 9 
SWAZILAND , 1 , 0 , 1 
TURQUIA , 0 , 1 , 1 
U. R. S. S. , 1 , 15 , 16 
UCRANIA , 0 , 1 , 1 
VENEZUELA , 2 , 3 , 5 
VIETNAM , 1 , 2 , 3 
YUGOSLAVIA , 1 , 1 , 2 
ZAIRE , 1 , 1 , 2 
SIN ESPECIFICAR , 2643 , 3108 , 5751 
