LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALBACETE , 51 , 140 , 191 
ALICANTE , 210 , 420 , 630 
ALMERÍA , 1504 , 2001 , 3505 
ASTURIAS , 31 , 46 , 77 
BADAJOZ , 137 , 207 , 344 
BALEARES , 103 , 210 , 313 
BARCELONA , 255 , 425 , 680 
BURGOS , 15 , 30 , 45 
CANTABRIA , 20 , 27 , 47 
CASTELLÓN , 10 , 21 , 31 
CEUTA , 418 , 636 , 1054 
CIUDAD REAL , 218 , 383 , 601 
CORUÑA LA , 24 , 47 , 71 
CUENCA , 18 , 19 , 37 
CÁCERES , 45 , 67 , 112 
CÁDIZ , 1012 , 1190 , 2202 
CÓRDOBA , 1108 , 1521 , 2629 
EXTRANJERO , 488 , 547 , 1035 
GERONA , 40 , 63 , 103 
GRANADA , 10864 , 14408 , 25272 
GUADALAJARA , 9 , 16 , 25 
GUIPUZCUA , 25 , 48 , 73 
HUELVA , 155 , 192 , 347 
HUESCA , 10 , 26 , 36 
JAÉN , 1996 , 2731 , 4727 
LA RIOJA , 12 , 17 , 29 
LERIDA , 18 , 23 , 41 
LEÓN , 17 , 36 , 53 
LUGO , 3 , 5 , 8 
MADRID , 365 , 467 , 832 
MELILLA , 361 , 590 , 951 
MURCIA , 408 , 585 , 993 
MÁLAGA , 1626 , 1855 , 3481 
NAVARRA , 26 , 56 , 82 
ORENSE , 4 , 7 , 11 
PALENCIA , 10 , 7 , 17 
PALMAS LAS , 221 , 307 , 528 
PONTEVEDRA , 22 , 35 , 57 
SALAMANCA , 19 , 19 , 38 
SEGOVIA , 4 , 8 , 12 
SEVILLA , 331 , 434 , 765 
SORIA , 3 , 14 , 17 
STA. CRUZ DE TENERIF , 110 , 164 , 274 
TARRAGONA , 28 , 52 , 80 
TERUEL , 7 , 9 , 16 
TOLEDO , 33 , 48 , 81 
VALENCIA , 74 , 114 , 188 
VALLADOLID , 20 , 21 , 41 
VIZCAYA , 45 , 67 , 112 
ZAMORA , 7 , 5 , 12 
ZARAGOZA , 37 , 49 , 86 
ÁLAVA , 21 , 39 , 60 
ÁVILA , 5 , 9 , 14 
AFGANISTÁN , 1 , 0 , 1 
ALBANIA , 4 , 1 , 5 
ALEMANIA , 302 , 43 , 345 
ANDORRA , 4 , 2 , 6 
ARGELIA , 1 , 0 , 1 
ARGENTINA , 17 , 19 , 36 
AUSTRALIA , 14 , 0 , 14 
AUSTRIA , 30 , 6 , 36 
BIELORUSIA , 1 , 2 , 3 
BOLIVIA , 2 , 2 , 4 
BOSNIA Y HERZEGOVINA , 0 , 1 , 1 
BRASIL , 40 , 2 , 42 
BULGARIA , 8 , 5 , 13 
BÉLGICA , 83 , 11 , 94 
CANADÁ , 28 , 1 , 29 
CHECOSLOVAQUIA , 10 , 2 , 12 
CHILE , 11 , 1 , 12 
CHINA (REP. POPULAR) , 0 , 1 , 1 
CHIPRE , 5 , 2 , 7 
COLOMBIA , 16 , 9 , 25 
COREA DEL SUR , 5 , 0 , 5 
COSTA DE MARFIL , 1 , 0 , 1 
COSTA RICA , 0 , 1 , 1 
CROACIA , 3 , 0 , 3 
CUBA , 3 , 3 , 6 
DINAMARCA , 16 , 1 , 17 
ECUADOR , 3 , 5 , 8 
EE. UU. DE AMERICA , 172 , 22 , 194 
ESLOVAQUIA , 9 , 6 , 15 
ESLOVENIA , 5 , 0 , 5 
ESPAÑA , 386 , 84 , 470 
ESTONIA , 5 , 0 , 5 
FINLANDIA , 27 , 5 , 32 
FRANCIA , 330 , 25 , 355 
GIBRALTAR , 1 , 0 , 1 
GRECIA , 35 , 5 , 40 
GUATEMALA , 1 , 0 , 1 
HOLANDA (PAISES BAJO , 28 , 1 , 29 
HONDURAS , 0 , 1 , 1 
HUNGRIA , 20 , 0 , 20 
INDIA , 1 , 0 , 1 
INDONESIA , 1 , 0 , 1 
IRLANDA (EIRE) , 21 , 1 , 22 
IRÁN , 1 , 0 , 1 
ISRAEL , 7 , 1 , 8 
ITALIA , 372 , 29 , 401 
JAPÓN , 7 , 0 , 7 
JORDANIA , 12 , 0 , 12 
KIRGUISTÁN , 1 , 0 , 1 
KUWAIT , 2 , 0 , 2 
LETONIA , 1 , 0 , 1 
LITUANIA , 5 , 0 , 5 
LÍBANO , 1 , 0 , 1 
