AREA,TITULO,2013,2014,2015
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,1,3,4
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,2,5,5
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,3,2,1
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,4,1,6
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,5,6,2
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,6,4,3
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,7,7,8
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,8,13,9
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,9,9,7
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,10,12,13
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,11,11,12
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,12,8,10
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,13,10,11
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,14,14,14
CIENCIAS,GRADUADO/A EN ESTADÍSTICA,1,1,6
CIENCIAS,GRADUADO/A EN GEOLOGÍA,2,2,1
CIENCIAS,GRADUADO/A EN MATEMÁTICAS,3,4,4
CIENCIAS,GRADUADO/A EN CIENCIAS AMBIENTALES,4,5,2
CIENCIAS,GRADUADO/A EN FÍSICA,5,3,3
CIENCIAS,GRADUADO/A EN QUÍMICA,6,6,5
CIENCIAS,GRADUADO/A EN BIOQUÍMICA,7,8,8
CIENCIAS,GRADUADO/A EN BIOLOGÍA,8,9,9
CIENCIAS,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,9,7,7
CIENCIAS DE LA SALUD,GRADUADO/A EN LOGOPEDIA,1,8,10
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (CEUTA),2,5,1
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA,3,2,3
CIENCIAS DE LA SALUD,GRADUADO/A EN ODONTOLOGÍA,4,9,6
CIENCIAS DE LA SALUD,GRADUADO/A EN TERAPIA OCUPACIONAL,5,1,4
CIENCIAS DE LA SALUD,GRADUADO/A EN FARMACIA,6,4,9
CIENCIAS DE LA SALUD,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,7,6,7
CIENCIAS DE LA SALUD,GRADUADO/A EN FISIOTERAPIA,8,3,2
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (MELILLA),9,7,5
CIENCIAS DE LA SALUD,GRADUADO/A EN PSICOLOGÍA,10,10,8
CIENCIAS DE LA SALUD,GRADUADO/A EN MEDICINA,11,11,11
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),1,5,11
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),2,2,2
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN SOCIOLOGÍA,3,4,5
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),4,3,9
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,5,1,1
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),6,18,18
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),7,8,3
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,8,9,7
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,9,6,8
