GRADUADO/A EN BIOLOGÍA,"82,68","75,84","79,94","81,51","83,12"
GRADUADO/A EN ODONTOLOGÍA,"85,5","93,19","91,78","93,58","94,77"
GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"92,61","91,59","90,95","91,83","89,4"
GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,,"70,87","81,49","79,74","82,27"
GRADUADO/A EN FARMACIA,"74,72","75,03","75,67","75,37","75,34"
GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,,"65,84","72,43","75,93","77,88"
GRADUADO/A EN CIENCIAS AMBIENTALES,"63,44","68,52","68,33","71,13","72,26"
GRADUADO/A EN ENFERMERÍA,"93,46","94,51","95,86","96,8","96,25"
GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"74,13","69,61","76,71","78,99","80,63"
GRADUADO/A EN ARQUITECTURA,"75,95","74,14","79,62","81,73","81,95"
GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),,"96,3","93,08",,"64,52"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"73,41","70,53","78,37","79,71","80,66"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"81,18","81,45","83,22","75,79","80,03"
GRADUADO/A EN SOCIOLOGÍA,"72,13","78,55","82,94","82,23","82,02"
GRADUADO/A EN INGENIERÍA QUÍMICA,"61,67","65,99","70,46","70,52","72,27"
GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"77,31","75,88","81,01","81,13","83,73"
GRADUADO/A EN MEDICINA,"96,48","95,87","95,35","95,97","95,9"
GRADUADO/A EN ESTADÍSTICA,"58,78",59,"67,73","70,85","75,18"
GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"89,8","97,48","95,98","98,13","96,74"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"85,1","87,95","87,98","90,25","88,93"
GRADUADO/A EN EDIFICACIÓN,"71,87","74,51","74,1","77,95","77,25"
GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,75,"80,98","86,64","88,38","86,33"
GRADUADO/A EN FINANZAS Y CONTABILIDAD,"82,96","79,64","74,1","76,87","75,65"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"86,78","82,58","81,28","81,6","82,53"
GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"79,8","73,47","78,91","80,74","81,58"
GRADUADO/A EN INGENIERÍA CIVIL,"82,21","71,17","74,69","75,37","71,55"
GRADUADO/A EN TURISMO,"83,2","86,68","89,55","87,3","88,1"
GRADUADO/A EN ECONOMÍA,"67,03","71,19","74,03","74,99","78,1"
GRADUADO/A EN FISIOTERAPIA,"97,01","94,98","96,11","96,69","98,08"
GRADUADO/A EN DERECHO,"76,16","74,43","78,14","79,96","79,92"
GRADUADO/A EN TERAPIA OCUPACIONAL,"90,24","94,62","95,58","97,14","94,28"
GRADUADO/A EN EDUCACIÓN SOCIAL,"96,6","96,74","96,04","96,51","97,49"
GRADUADO/A EN CRIMINOLOGÍA,,,"96,26","97,34","93,94"
GRADUADO/A EN TRABAJO SOCIAL,"93,95","95,06","94,58","94,43","93,62"
GRADUADO/A EN BIOTECNOLOGÍA,,,,,"93,85"
GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"93,43","92,65","91,36","93,16","91,75"
GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),,"89,7","95,27","95,3","97,03"
GRADUADO/A EN EDUCACIÓN PRIMARIA,"89,23","91,85","93,26","94,77","94,68"
GRADUADO/A EN EDUCACIÓN INFANTIL,"97,37","97,07","97,82","97,9","97,62"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"76,04","76,63","80,81","81,09","80,48"
GRADUADO/A EN BELLAS ARTES,"93,43","94,9","94,91","95,73","95,85"
GRADUADO/A EN BIOQUÍMICA,"75,69","90,24","92,91","96,11","95,48"
GRADUADO/A EN FILOSOFÍA,"77,07","79,98","84,43","84,59","86,1"
GRADUADO/A EN PSICOLOGÍA,"90,98","88,76","88,43","90,86","91,14"
GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"91,75","93,57","94,28","95,71","93,88"
GRADUADO/A EN ARQUEOLOGÍA,,,,"88,44","84,5"
GRADUADO/A EN FÍSICA,"71,39","69,54","74,73","77,55","75,09"
GRADUADO/A EN GEOLOGÍA,"58,49","66,83","65,31","71,78","70,34"
GRADUADO/A EN MATEMÁTICAS,"55,24","70,75","76,24","75,25","75,83"
