AREA,TITULO,2011,2012,2013,2014,2015
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,14,13,8,12,13
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,13,7,14,10,10
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,12,11,10,14,14
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,11,14,12,13,12
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,10,9,9,9,7
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,9,8,13,11,11
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,8,12,7,6,6
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,7,10,11,8,8
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,6,4,4,4,4
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,5,5,5,5,5
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,4,6,6,7,9
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,3,1,2,3,1
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,2,3,1,1,2
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,1,2,3,2,3
CIENCIAS,GRADUADO/A EN GEOLOGÍA,9,7,9,7,6
CIENCIAS,GRADUADO/A EN ESTADÍSTICA,8,9,8,9,9
CIENCIAS,GRADUADO/A EN MATEMÁTICAS,7,4,4,4,5
CIENCIAS,GRADUADO/A EN CIENCIAS AMBIENTALES,6,5,7,8,7
CIENCIAS,GRADUADO/A EN QUÍMICA,5,6,5,5,4
CIENCIAS,GRADUADO/A EN FÍSICA,4,8,6,6,8
CIENCIAS,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,3,3,3,3,3
CIENCIAS,GRADUADO/A EN BIOQUÍMICA,2,1,1,1,1
CIENCIAS,GRADUADO/A EN BIOLOGÍA,1,2,2,2,2
CIENCIAS DE LA SALUD,GRADUADO/A EN FARMACIA,11,11,11,11,11
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (CEUTA),10,10,10,5,3
CIENCIAS DE LA SALUD,GRADUADO/A EN ODONTOLOGÍA,9,5,6,8,7
CIENCIAS DE LA SALUD,GRADUADO/A EN LOGOPEDIA,8,6,1,4,5
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (MELILLA),7,7,8,6,8
CIENCIAS DE LA SALUD,GRADUADO/A EN TERAPIA OCUPACIONAL,6,3,2,1,6
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA,5,4,4,2,2
CIENCIAS DE LA SALUD,GRADUADO/A EN FISIOTERAPIA,4,2,5,7,1
CIENCIAS DE LA SALUD,GRADUADO/A EN PSICOLOGÍA,3,9,9,10,9
CIENCIAS DE LA SALUD,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,2,8,7,9,10
CIENCIAS DE LA SALUD,GRADUADO/A EN MEDICINA,1,1,3,3,4
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),30,23,13,25,22
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),29,21,22,17,17
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),28,30,28,29,25
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),27,29,29,30,16
