AREA,TITULO,2011,2012,2013,2014,2015
Ciencias de la Salud,GRADUADO/A EN MEDICINA,1,4,7,8,10
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN SOCIAL,2,3,3,5,3
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN INFANTIL,3,2,1,1,2
Ciencias Sociales y Jurídicas,GRADUADO/A EN TRABAJO SOCIAL,4,5,9,12,15
Artes y Humanidades,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,5,16,20,17,22
Ciencias de la Salud,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,6,18,15,20,23
Ciencias de la Salud,GRADUADO/A EN PSICOLOGÍA,7,21,23,23,19
Ciencias de la Salud,GRADUADO/A EN FISIOTERAPIA,8,6,10,15,4
Ciencias Sociales y Jurídicas,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,9,1,4,6,7
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN PRIMARIA,10,11,12,11,13
Artes y Humanidades,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,11,19,13,10,21
Artes y Humanidades,GRADUADO/A EN BELLAS ARTES,12,12,18,24,20
Ciencias de la Salud,GRADUADO/A EN ENFERMERÍA,13,8,8,4,6
Ciencias Sociales y Jurídicas,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,14,9,17,18,18
Ciencias Sociales y Jurídicas,GRADUADO/A EN PEDAGOGÍA,15,15,5,7,9
Ciencias Sociales y Jurídicas,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,16,27,32,40,43
Ciencias de la Salud,GRADUADO/A EN TERAPIA OCUPACIONAL,17,7,6,2,12
Ciencias de la Salud,GRADUADO/A EN LOGOPEDIA,18,13,2,9,11
Ciencias de la Salud,GRADUADO/A EN ENFERMERÍA (MELILLA),19,17,16,14,17
Artes y Humanidades,GRADUADO/A EN ESTUDIOS INGLESES,20,31,33,35,41
Ciencias Sociales y Jurídicas,GRADUADO/A EN FINANZAS Y CONTABILIDAD,21,28,50,47,57
Ciencias Sociales y Jurídicas,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,22,22,24,22,26
Odontología,GRADUADO/A EN ODONTOLOGÍA,23,10,14,16,14
Ciencias Sociales y Jurídicas,GRADUADO/A EN TURISMO,24,24,19,28,27
Ciencias Sociales y Jurídicas,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,25,40,36,38,36
Ingeniería y Arquitectura,GRADUADO/A EN INGENIERÍA CIVIL,26,59,59,63,70
Ciencias,GRADUADO/A EN BIOLOGÍA,27,39,42,39,40
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),28,36,30,33,28
Artes y Humanidades,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,29,23,27,30,29
Ciencias,GRADUADO/A EN BIOQUÍMICA,30,14,11,3,5
Ciencias de la Salud,GRADUADO/A EN ENFERMERÍA (CEUTA),31,30,25,13,8
Artes y Humanidades,GRADUADO/A EN FILOLOGÍA HISPÁNICA,32,20,26,25,24
Ciencias,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,33,46,52,49,58
Ciencias Sociales y Jurídicas,GRADUADO/A EN DERECHO,34,47,51,44,52
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),35,26,22,19,25
Ingeniería y Arquitectura,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,36,37,43,42,38
Ciencias Sociales y Jurídicas,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,37,44,40,43,51
Ciencias Sociales y Jurídicas,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),38,25,21,21,16
Ciencias Sociales y Jurídicas,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,39,29,28,26,31
