AREA,TITULO,2011,2012,2013,2014,2015
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,5,16,20,17,22
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,11,19,13,10,21
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,12,12,18,24,20
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,20,31,33,35,41
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,29,23,27,30,29
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,32,20,26,25,24
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,47,49,44,36,39
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,48,51,34,31,32
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,54,41,48,45,46
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,55,48,38,37,34
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,56,61,46,54,48
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,57,50,41,58,63
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,59,33,49,41,42
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,61,55,37,50,53
CIENCIAS,GRADUADO/A EN BIOLOGÍA,27,39,42,39,40
CIENCIAS,GRADUADO/A EN BIOQUÍMICA,30,14,11,3,5
CIENCIAS,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,33,46,52,49,58
CIENCIAS,GRADUADO/A EN FÍSICA,58,68,64,62,68
CIENCIAS,GRADUADO/A EN QUÍMICA,60,64,63,59,59
CIENCIAS,GRADUADO/A EN CIENCIAS AMBIENTALES,62,62,65,66,66
CIENCIAS,GRADUADO/A EN MATEMÁTICAS,65,56,58,55,60
CIENCIAS,GRADUADO/A EN ESTADÍSTICA,66,70,66,70,69
CIENCIAS,GRADUADO/A EN GEOLOGÍA,67,65,67,65,64
CIENCIAS DE LA SALUD,GRADUADO/A EN MEDICINA,1,4,7,8,10
CIENCIAS DE LA SALUD,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,6,18,15,20,23
CIENCIAS DE LA SALUD,GRADUADO/A EN PSICOLOGÍA,7,21,23,23,19
CIENCIAS DE LA SALUD,GRADUADO/A EN FISIOTERAPIA,8,6,10,15,4
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA,13,8,8,4,6
CIENCIAS DE LA SALUD,GRADUADO/A EN TERAPIA OCUPACIONAL,17,7,6,2,12
CIENCIAS DE LA SALUD,GRADUADO/A EN LOGOPEDIA,18,13,2,9,11
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (MELILLA),19,17,16,14,17
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA (CEUTA),31,30,25,13,8
CIENCIAS DE LA SALUD,GRADUADO/A EN FARMACIA,40,43,54,56,61
CIENCIAS DE LA SALUD,GRADUADO/A EN ODONTOLOGÍA,23,10,14,16,14
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN SOCIAL,2,3,3,5,3
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN INFANTIL,3,2,1,1,2
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN TRABAJO SOCIAL,4,5,9,12,15
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,9,1,4,6,7
CIENCIAS SOCIALES Y JURÍDICAS,GRADUADO/A EN EDUCACIÓN PRIMARIA,10,11,12,11,13
