CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO
200,GRADUADO/A EN BIOLOGÍA,"66,56","75,84"
201,GRADO EN ODONTOLOGÍA,"88,11","93,19"
202,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"85,21","91,59"
203,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"58,87","70,87"
204,GRADUADO/A EN FARMACIA,"64,45","75,03"
205,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"53,88","65,84"
206,GRADUADO/A EN CIENCIAS AMBIENTALES,"54,03","68,52"
207,GRADUADO/A EN ENFERMERÍA,"88,25","94,51"
208,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"60,46","69,61"
209,GRADUADO/A EN ARQUITECTURA,"61,73","74,14"
210,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"86,67","96,3"
212,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"55,55","70,53"
213,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,4","81,45"
214,GRADUADO/A EN SOCIOLOGÍA,"66,78","78,55"
220,GRADUADO/A EN INGENIERÍA QUÍMICA,"53,85","65,99"
221,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"66,9","75,88"
222,GRADUADO/A EN MEDICINA,"92,48","95,87"
223,GRADUADO/A EN ESTADÍSTICA,"43,33",59
227,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,48","97,48"
228,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"81,67","87,95"
230,GRADUADO/A EN EDIFICACIÓN,"57,23","74,51"
231,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"72,7","80,98"
233,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"73,18","79,64"
235,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,64","82,58"
236,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"66,03","73,47"
237,GRADUADO/A EN INGENIERÍA CIVIL,"55,76","71,17"
238,GRADUADO/A EN TURISMO,"79,86","86,68"
239,GRADUADO/A EN ECONOMÍA,61,"71,19"
241,GRADUADO/A EN FISIOTERAPIA,"88,85","94,98"
242,GRADUADO/A EN DERECHO,"63,67","74,43"
243,GRADUADO/A EN TERAPIA OCUPACIONAL,"88,52","94,62"
244,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,58","96,74"
249,GRADUADO/A EN TRABAJO SOCIAL,"91,2","95,06"
252,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"85,5","92,65"
256,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"85,92","89,7"
257,GRADUADO/A EN EDUCACIÓN PRIMARIA,"87,24","91,85"
258,GRADUADO/A EN EDUCACIÓN INFANTIL,"94,33","97,07"
259,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,36","76,63"
260,GRADUADO/A EN BELLAS ARTES,"87,01","94,9"
261,GRADUADO/A EN BIOQUÍMICA,"86,33","90,24"
263,GRADUADO/A EN FILOSOFÍA,"54,93","79,98"
264,GRADUADO/A EN PSICOLOGÍA,"81,9","88,76"
265,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"84,54","93,57"
267,GRADUADO/A EN FÍSICA,"49,06","69,54"
268,GRADUADO/A EN GEOLOGÍA,"53,42","66,83"
270,GRADUADO/A EN MATEMÁTICAS,"57,49","70,75"
273,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,13","89,32"
276,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,13","75,4"
277,GRADUADO/A EN ESTUDIOS FRANCESES,"65,04","75,72"
279,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"57,94","81,47"
283,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"82,82","90,8"
285,GRADUADO/A EN ESTUDIOS INGLESES,"72,42","81,95"
