CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA
200,GRADUADO/A EN BIOLOGÍA,"73,15","81,51","13,82","97,81"
201,GRADUADO/A EN ODONTOLOGÍA,"88,29","93,58","8,54",
202,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"86,78","91,83","13,4","98,18"
203,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"72,47","79,74","19,67",
204,GRADUADO/A EN FARMACIA,"65,83","75,37","14,66",
205,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"64,46","75,93","18,75",
206,GRADUADO/A EN CIENCIAS AMBIENTALES,"59,43","71,13","35,11","95,36"
207,GRADUADO/A EN ENFERMERÍA,"94,58","96,8","15,56","98,19"
208,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"69,75","78,99","22,22","97,96"
209,GRADUADO/A EN ARQUITECTURA,"68,25","81,73","20,92",
212,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"67,49","79,71","49,32","95,3"
213,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,44","75,79","26,32",
214,GRADUADO/A EN SOCIOLOGÍA,"70,35","82,23","35,17","97,56"
220,GRADUADO/A EN INGENIERÍA QUÍMICA,"58,08","70,52","36,61","98,52"
221,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,78","81,13","10,1","97,92"
222,GRADUADO/A EN MEDICINA,"93,25","95,97","3,64",
223,GRADUADO/A EN ESTADÍSTICA,"55,86","70,85","51,02","94,61"
227,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,14","98,13","1,61","98,02"
228,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"85,65","90,25","7,91",
230,GRADUADO/A EN EDIFICACIÓN,"63,29","77,95","25,64","95,94"
231,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"82,1","88,38","23,91","96,95"
233,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"70,08","76,87","14,17","97,08"
235,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"72,85","81,6","9,96","97,53"
236,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,54","80,74","20,33","95,51"
237,GRADUADO/A EN INGENIERÍA CIVIL,"61,39","75,37","13,54","97,06"
238,GRADUADO/A EN TURISMO,"81,09","87,3","12,12","95,85"
239,GRADUADO/A EN ECONOMÍA,"64,89","74,99","16,67","94,86"
241,GRADUADO/A EN FISIOTERAPIA,"89,27","96,69","15,38","98,26"
242,GRADUADO/A EN DERECHO,"70,5","79,96",17,"95,4"
243,GRADUADO/A EN TERAPIA OCUPACIONAL,"94,74","97,14","16,67","97,56"
244,GRADUADO/A EN EDUCACIÓN SOCIAL,"94,53","96,51","6,56","98,97"
245,GRADUADO/A EN CRIMINOLOGÍA,"94,46","97,34",,
249,GRADUADO/A EN TRABAJO SOCIAL,"90,49","94,43","10,06","98,61"
252,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"87,58","93,16","8,27","97,41"
256,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,66","95,3","7,58",
257,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,95","94,77","12,09","97,59"
258,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,54","97,9","6,02","98,53"
259,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"71,14","81,09","24,5","95,89"
260,GRADUADO/A EN BELLAS ARTES,85,"95,73","14,81","98,91"
261,GRADUADO/A EN BIOQUÍMICA,"94,69","96,11","13,89","97,1"
263,GRADUADO/A EN FILOSOFÍA,"67,25","84,59","52,63","95,07"
264,GRADUADO/A EN PSICOLOGÍA,"85,43","90,86","6,9","97,78"
265,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"91,17","95,71","22,45","98,28"
266,GRADUADO/A EN ARQUEOLOGÍA,"75,36","88,44",,
267,GRADUADO/A EN FÍSICA,"62,18","77,55","36,26","98,51"
268,GRADUADO/A EN GEOLOGÍA,"60,67","71,78","37,7","96,67"
270,GRADUADO/A EN MATEMÁTICAS,"66,26","75,25","35,35","98,12"
273,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,16","89,12","13,7","98,7"
276,GRADUADO/A EN FILOLOGÍA CLÁSICA,"63,98","76,14","40,91","97,04"
277,GRADUADO/A EN ESTUDIOS FRANCESES,"70,41","80,97","28,77","96,64"
279,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"68,48","87,18","47,37",
283,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"83,4","91,48","8,45",98
285,GRADUADO/A EN ESTUDIOS INGLESES,"75,26","82,98","15,28","97,45"
286,GRADUADO/A EN LOGOPEDIA,"92,29","93,96","11,94","98,61"
287,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"69,14","73,39","17,89","97,52"
288,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"86,97","92,46","6,99","96,65"
290,GRADUADO/A EN LITERATURAS COMPARADAS,"72,36","90,19","29,41","99,79"
291,GRADUADO/A EN QUÍMICA,"63,62","76,22","30,12","96,89"
292,GRADUADO/A EN HISTORIA,"73,68","86,15","20,67","96,74"
293,GRADUADO/A EN HISTORIA DEL ARTE,"75,11","86,21","35,51","97,22"
294,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"70,78","85,9","21,15",
296,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"57,76","72,03","53,47","95,35"
297,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"67,51","77,65","34,78",
298,GRADUADO/A EN PEDAGOGÍA,"94,03","97,15","14,56","98,54"
299,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"79,68","91,97","24,24","97,74"
407,GRADUADO/A EN ENFERMERÍA (CEUTA),"90,13","93,94","14,48","93,77"
414,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"85,48","91,45","16,9",
433,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"81,31","90,14","13,33","98,77"
457,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),78,"87,3","18,46","94,05"
