GRADUADO/A EN BIOLOGÍA,,,"13,18","13,82","12,27"
GRADUADO/A EN ODONTOLOGÍA,,,"12,66","8,54","10,26"
GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,,,"8,08","13,4","9,47"
GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,,,,"19,67","11,94"
GRADUADO/A EN FARMACIA,,,"10,49","14,66","8,82"
GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,,,,"18,75","17,19"
GRADUADO/A EN CIENCIAS AMBIENTALES,,,"27,82","35,11","34,07"
GRADUADO/A EN ENFERMERÍA,,,"14,4","15,56","13,43"
GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,,,"27,27","22,22",20
GRADUADO/A EN ARQUITECTURA,,,"16,03","20,92","15,89"
GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),,,,,
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,,,"31,76","49,32","36,3"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,,,"27,27","26,32","21,38"
GRADUADO/A EN SOCIOLOGÍA,,,"34,09","35,17","30,28"
GRADUADO/A EN INGENIERÍA QUÍMICA,,,"32,43","36,61","35,4"
GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,,,"15,05","10,1","15,53"
GRADUADO/A EN MEDICINA,,,"2,89","3,64","3,6"
GRADUADO/A EN ESTADÍSTICA,,,"45,9","51,02","29,41"
GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,,,"10,77","1,61","5,8"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,,,"13,04","7,91","15,33"
GRADUADO/A EN EDIFICACIÓN,,,"13,24","25,64","33,1"
GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,,,"27,94","23,91","24,49"
GRADUADO/A EN FINANZAS Y CONTABILIDAD,,,"8,8","14,17","12,03"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,,,"7,2","9,96","6,74"
GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,,,"10,08","20,33","9,76"
GRADUADO/A EN INGENIERÍA CIVIL,,,"7,49","13,54","16,49"
GRADUADO/A EN TURISMO,,,"11,85","12,12","4,29"
GRADUADO/A EN ECONOMÍA,,,"15,06","16,67","12,93"
GRADUADO/A EN FISIOTERAPIA,,,"7,84","15,38","16,07"
GRADUADO/A EN DERECHO,,,"10,63",17,"16,3"
GRADUADO/A EN TERAPIA OCUPACIONAL,,,"12,07","16,67","13,11"
GRADUADO/A EN EDUCACIÓN SOCIAL,,,"5,69","6,56","6,25"
GRADUADO/A EN CRIMINOLOGÍA,,,,,"9,46"
GRADUADO/A EN TRABAJO SOCIAL,,,"9,66","10,06","8,05"
GRADUADO/A EN BIOTECNOLOGÍA,,,,,
GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,,,"6,75","8,27","9,12"
GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),,,,"7,58","2,99"
GRADUADO/A EN EDUCACIÓN PRIMARIA,,,"8,63","12,09","7,69"
GRADUADO/A EN EDUCACIÓN INFANTIL,,,"9,34","6,02","4,59"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,,,"17,33","24,5","24,57"
GRADUADO/A EN BELLAS ARTES,,,"13,51","14,81","12,29"
GRADUADO/A EN BIOQUÍMICA,,,"14,29","13,89",16
GRADUADO/A EN FILOSOFÍA,,,"33,33","52,63","25,71"
GRADUADO/A EN PSICOLOGÍA,,,"6,64","6,9","8,9"
GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,,,"13,21","22,45",16
GRADUADO/A EN ARQUEOLOGÍA,,,,,
GRADUADO/A EN FÍSICA,,,"26,25","36,26","34,02"
GRADUADO/A EN GEOLOGÍA,,,"38,24","37,7","36,23"
GRADUADO/A EN MATEMÁTICAS,,,"33,33","35,35","33,33"
GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,,,"21,05","13,7","9,3"
GRADUADO/A EN FILOLOGÍA CLÁSICA,,,"47,37","40,91","31,25"
GRADUADO/A EN ESTUDIOS FRANCESES,,,"31,43","28,77","37,14"
GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,,,"35,48","47,37","37,78"
GRADUADO/A EN FILOLOGÍA HISPÁNICA,,,"26,09","8,45","18,31"
GRADUADO/A EN ESTUDIOS INGLESES,,,"11,43","15,28","14,69"
GRADUADO/A EN LOGOPEDIA,,,"25,81","11,94","5,63"
GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,,,"9,17","17,89","21,85"
GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,,,"9,24","6,99","4,26"
GRADUADO/A EN LITERATURAS COMPARADAS,,,"40,63","29,41","31,11"
GRADUADO/A EN QUÍMICA,,,"20,51","30,12","32,53"
GRADUADO/A EN HISTORIA,,,"23,03","20,67","18,84"
GRADUADO/A EN HISTORIA DEL ARTE,,,"29,29","35,51","34,65"
GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,,,,"21,15","22,22"
GRADUADO/A EN INGENIERÍA INFORMÁTICA,,,"30,97","53,47","32,85"
GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,,,,"34,78",40
GRADUADO/A EN PEDAGOGÍA,,,"16,39","14,56","5,17"
GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,,,"26,67","24,24","18,75"
GRADUADO/A EN ENFERMERÍA (CEUTA),,,"19,26","14,48","25,37"
GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),,,,"16,9","13,33"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),,,"30,56","13,33","10,13"
GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),,,"25,74","18,46","15,58"
GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),,,"26,42","8,33","15,09"
GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),,,"44,44","11,11",10
GRADUADO/A EN ENFERMERÍA (MELILLA),,,"6,67","12,7","12,9"
GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),,,,20,"17,24"
GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),,,,,
GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),,,"41,18","47,92","32,84"
DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),,,,,
DIPLOMATURA DE RELACIONES LABORALES (MELILLA),,,,
DIPLOMADO EN RELACIONES LABORALES (MELILLA),,,,
DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),,,,,
GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),,,"86,67",30,"18,75"
GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),,,"27,27","22,73","31,51"
GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),,,"29,27","24,24","32,26"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),,,"33,33",40,"20,45"
GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),,,,,
