CODIGO,CURSO,TITULO,TASA EXITO
200,2011,GRADUADO/A EN BIOLOGÍA,"82,68"
200,2012,GRADUADO/A EN BIOLOGÍA,"75,84"
200,2013,GRADUADO/A EN BIOLOGÍA,"79,94"
200,2014,GRADUADO/A EN BIOLOGÍA,"81,51"
200,2015,GRADUADO/A EN BIOLOGÍA,"83,12"
201,2011,GRADUADO/A EN ODONTOLOGÍA,"85,5"
201,2012,GRADUADO/A EN ODONTOLOGÍA,"93,19"
201,2013,GRADUADO/A EN ODONTOLOGÍA,"91,78"
201,2014,GRADUADO/A EN ODONTOLOGÍA,"93,58"
201,2015,GRADUADO/A EN ODONTOLOGÍA,"94,77"
202,2011,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"92,61"
202,2012,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"91,59"
202,2013,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"90,95"
202,2014,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"91,83"
202,2015,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"89,4"
203,2012,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"70,87"
203,2013,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"81,49"
203,2014,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"79,74"
203,2015,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"82,27"
204,2011,GRADUADO/A EN FARMACIA,"74,72"
204,2012,GRADUADO/A EN FARMACIA,"75,03"
204,2013,GRADUADO/A EN FARMACIA,"75,67"
204,2014,GRADUADO/A EN FARMACIA,"75,37"
204,2015,GRADUADO/A EN FARMACIA,"75,34"
205,2012,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"65,84"
205,2013,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"72,43"
205,2014,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"75,93"
205,2015,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"77,88"
206,2011,GRADUADO/A EN CIENCIAS AMBIENTALES,"63,44"
206,2012,GRADUADO/A EN CIENCIAS AMBIENTALES,"68,52"
206,2013,GRADUADO/A EN CIENCIAS AMBIENTALES,"68,33"
206,2014,GRADUADO/A EN CIENCIAS AMBIENTALES,"71,13"
206,2015,GRADUADO/A EN CIENCIAS AMBIENTALES,"72,26"
207,2011,GRADUADO/A EN ENFERMERÍA,"93,46"
207,2012,GRADUADO/A EN ENFERMERÍA,"94,51"
207,2013,GRADUADO/A EN ENFERMERÍA,"95,86"
207,2014,GRADUADO/A EN ENFERMERÍA,"96,8"
207,2015,GRADUADO/A EN ENFERMERÍA,"96,25"
208,2011,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"74,13"
208,2012,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"69,61"
208,2013,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"76,71"
208,2014,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"78,99"
208,2015,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"80,63"
209,2011,GRADUADO/A EN ARQUITECTURA,"75,95"
209,2012,GRADUADO/A EN ARQUITECTURA,"74,14"
209,2013,GRADUADO/A EN ARQUITECTURA,"79,62"
209,2014,GRADUADO/A EN ARQUITECTURA,"81,73"
209,2015,GRADUADO/A EN ARQUITECTURA,"81,95"
210,2012,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"96,3"
210,2013,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"93,08"
210,2015,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"64,52"
212,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"73,41"
212,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"70,53"
212,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"78,37"
212,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"79,71"
212,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"80,66"
213,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"81,18"
213,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"81,45"
213,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"83,22"
213,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"75,79"
213,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"80,03"
214,2011,GRADUADO/A EN SOCIOLOGÍA,"72,13"
214,2012,GRADUADO/A EN SOCIOLOGÍA,"78,55"
214,2013,GRADUADO/A EN SOCIOLOGÍA,"82,94"
