GRADUADO/A EN BIOLOGÍA,,,,,"32,73"
GRADUADO/A EN ODONTOLOGÍA,,,,,
GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,,,,,"50,51"
GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,,,,,
GRADUADO/A EN FARMACIA,,,,,
GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,,,,,
GRADUADO/A EN CIENCIAS AMBIENTALES,,,,,"16,54"
GRADUADO/A EN ENFERMERÍA,,,,,72
GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,,,,,"18,18"
GRADUADO/A EN ARQUITECTURA,,,,,
GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),,,,,
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,,,,,"19,05"
GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,,,,,
GRADUADO/A EN SOCIOLOGÍA,,,,,"15,27"
GRADUADO/A EN INGENIERÍA QUÍMICA,,,,,"26,13"
GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,,,,,"40,86"
GRADUADO/A EN MEDICINA,,,,,
GRADUADO/A EN ESTADÍSTICA,,,,,"13,11"
GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,,,,,"43,08"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,,,,,
GRADUADO/A EN EDIFICACIÓN,,,,,"18,82"
GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,,,,,"19,12"
GRADUADO/A EN FINANZAS Y CONTABILIDAD,,,,,"29,6"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,,,,,"37,12"
GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,,,,,"29,46"
GRADUADO/A EN INGENIERÍA CIVIL,,,,,"34,41"
GRADUADO/A EN TURISMO,,,,,"30,37"
GRADUADO/A EN ECONOMÍA,,,,,"23,43"
GRADUADO/A EN FISIOTERAPIA,,,,,"70,59"
GRADUADO/A EN DERECHO,,,,,"29,98"
GRADUADO/A EN TERAPIA OCUPACIONAL,,,,,"62,07"
GRADUADO/A EN EDUCACIÓN SOCIAL,,,,,"46,34"
GRADUADO/A EN CRIMINOLOGÍA,,,,,
GRADUADO/A EN TRABAJO SOCIAL,,,,,"45,45"
GRADUADO/A EN BIOTECNOLOGÍA,,,,,
GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,,,,,"61,75"
GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),,,,,
GRADUADO/A EN EDUCACIÓN PRIMARIA,,,,,"62,13"
GRADUADO/A EN EDUCACIÓN INFANTIL,,,,,"75,43"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,,,,,"22,28"
GRADUADO/A EN BELLAS ARTES,,,,,"42,79"
GRADUADO/A EN BIOQUÍMICA,,,,,"60,71"
GRADUADO/A EN FILOSOFÍA,,,,,"24,24"
GRADUADO/A EN PSICOLOGÍA,,,,,"55,59"
GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,,,,,"35,85"
GRADUADO/A EN ARQUEOLOGÍA,,,,,
GRADUADO/A EN FÍSICA,,,,,"28,75"
GRADUADO/A EN GEOLOGÍA,,,,,"23,53"
GRADUADO/A EN MATEMÁTICAS,,,,,"25,44"
GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,,,,,"45,61"
GRADUADO/A EN FILOLOGÍA CLÁSICA,,,,,"21,05"
GRADUADO/A EN ESTUDIOS FRANCESES,,,,,"34,29"
GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,,,,,"6,45"
GRADUADO/A EN FILOLOGÍA HISPÁNICA,,,,,"50,72"
