CODIGO,CURSO,TITULO,TASA RENDIMIENTO
200,2011,GRADUADO/A EN BIOLOGÍA,"72,57"
200,2012,GRADUADO/A EN BIOLOGÍA,"66,56"
200,2013,GRADUADO/A EN BIOLOGÍA,"72,25"
200,2014,GRADUADO/A EN BIOLOGÍA,"73,15"
200,2015,GRADUADO/A EN BIOLOGÍA,"74,02"
201,2011,GRADUADO/A EN ODONTOLOGÍA,"75,58"
201,2012,GRADUADO/A EN ODONTOLOGÍA,"88,11"
201,2013,GRADUADO/A EN ODONTOLOGÍA,"87,19"
201,2014,GRADUADO/A EN ODONTOLOGÍA,"88,29"
201,2015,GRADUADO/A EN ODONTOLOGÍA,"89,42"
202,2011,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"84,97"
202,2012,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"85,21"
202,2013,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"87,01"
202,2014,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"86,78"
202,2015,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,84
203,2012,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"58,87"
203,2013,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"76,54"
203,2014,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"72,47"
203,2015,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"75,4"
204,2011,GRADUADO/A EN FARMACIA,"64,13"
204,2012,GRADUADO/A EN FARMACIA,"64,45"
204,2013,GRADUADO/A EN FARMACIA,"65,83"
204,2014,GRADUADO/A EN FARMACIA,"65,83"
204,2015,GRADUADO/A EN FARMACIA,"63,37"
205,2012,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"53,88"
205,2013,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"57,92"
205,2014,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"64,46"
205,2015,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"66,97"
206,2011,GRADUADO/A EN CIENCIAS AMBIENTALES,"48,61"
206,2012,GRADUADO/A EN CIENCIAS AMBIENTALES,"54,03"
206,2013,GRADUADO/A EN CIENCIAS AMBIENTALES,"56,33"
206,2014,GRADUADO/A EN CIENCIAS AMBIENTALES,"59,43"
206,2015,GRADUADO/A EN CIENCIAS AMBIENTALES,59
207,2011,GRADUADO/A EN ENFERMERÍA,"81,88"
207,2012,GRADUADO/A EN ENFERMERÍA,"88,25"
207,2013,GRADUADO/A EN ENFERMERÍA,"91,87"
207,2014,GRADUADO/A EN ENFERMERÍA,"94,58"
207,2015,GRADUADO/A EN ENFERMERÍA,"93,17"
208,2011,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"56,38"
208,2012,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"60,46"
208,2013,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"64,68"
208,2014,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"69,75"
208,2015,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"71,16"
209,2011,GRADUADO/A EN ARQUITECTURA,"63,67"
209,2012,GRADUADO/A EN ARQUITECTURA,"61,73"
