TITULO,TASA RENDIMIENTO,TASA EXITO
GRADO EN BIOLOGIA,"72,57","82,68"
GRADO EN ODONTOLOGIA,"75,58","85,5"
GRADO EN NUTRICION HUMANA Y DIETETICA,"84,97","92,61"
GRADO EN FARMACIA,"64,13","74,72"
GRADO EN CIENCIAS AMBIENTALES,"48,61","63,44"
GRADO EN ENFERMERIA,"81,88","93,46"
GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,"56,38","74,13"
GRADO EN ARQUITECTURA,"63,67","75,95"
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,"59,5","73,41"
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION Y DERECHO,"63,51","81,18"
GRADO EN SOCIOLOGIA,"56,41","72,13"
GRADO EN INGENIERIA QUIMICA,"44,98","61,67"
GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,"65,34","77,31"
GRADO EN MEDICINA,"93,63","96,48"
GRADO EN ESTADISTICA,"42,79","58,78"
GRADO EN COMUNICACION AUDIOVISUAL,"83,49","89,8"
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,"76,15","85,1"
GRADO EN INGENIERIA DE EDIFICACION,"57,11","71,87"
GRADO EN INFORMACION Y DOCUMENTACION,"64,25",75
GRADO EN FINANZAS Y CONTABILIDAD,"76,39","82,96"
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,"80,4","86,78"
GRADO EN MARKETING E INVESTIGACION DE MERCADOS,"72,98","79,8"
GRADO EN INGENIERIA CIVIL,"72,86","82,21"
GRADO EN TURISMO,"74,29","83,2"
GRADO EN ECONOMIA,"57,55","67,03"
GRADO EN FISIOTERAPIA,"84,74","97,01"
GRADO EN DERECHO,"67,05","76,16"
GRADO EN TERAPIA OCUPACIONAL,"79,33","90,24"
GRADO EN EDUCACION SOCIAL,"90,88","96,6"
GRADO EN TRABAJO SOCIAL,"88,49","93,95"
GRADO EN TRADUCCION E INTERPRETACION,"86,32","93,43"
GRADO EN MAESTRO EN EDUCACION PRIMARIA,"83,45","89,23"
GRADO EN MAESTRO DE EDUCACION INFANTIL,"90,68","97,37"
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,"64,72","76,04"
GRADO EN BELLAS ARTES,"82,68","93,43"
GRADO EN BIOQUIMICA,"69,68","75,69"
GRADO EN FILOSOFIA,"54,1","77,07"
GRADO EN PSICOLOGIA,"84,89","90,98"
GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,"83,03","91,75"
GRADO EN FISICA,"51,42","71,39"
GRADO EN GEOLOGIA,"39,81","58,49"
GRADO EN MATEMATICAS,"43,59","55,24"
GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,"70,33","83,79"
GRADO EN FILOLOGIA CLASICA,"52,45","68,68"
GRADO EN ESTUDIOS FRANCESES,"54,71","67,74"
GRADO EN ESTUDIOS ARABES E ISLAMICOS,"48,77","68,53"
GRADO EN FILOLOGIA HISPANICA,"68,26","80,1"
GRADO EN ESTUDIOS INGLESES,77,"82,96"
GRADO EN LOGOPEDIA,"77,57","87,45"
GRADO EN OPTICA Y OPTOMETRIA,"67,59","72,26"
GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,"81,59","88,78"
GRADO EN LITERATURAS COMPARADAS,"49,51","79,69"
GRADO EN QUIMICA,"48,83","62,75"
GRADO EN HISTORIA,"54,14","75,92"
GRADO EN HISTORIA DEL ARTE,"59,12","70,91"
GRADO EN INGENIERIA INFORMATICA,"33,45","53,5"
GRADO EN PEDAGOGIA,"80,77","88,48"
GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,"57,62","82,1"
GRADO EN ENFERMERIA (CEUTA),"69,42","82,7"
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),"59,78","83,27"
GRADO EN MAESTRO EN EDUCACION PRIMARIA (CEUTA),"71,02","86,83"
GRADO EN MAESTRO DE EDUCACION INFANTIL (CEUTA),"64,34","77,57"
GRADO EN INGENIERIA INFORMATICA (CEUTA),"21,64","56,06"
GRADO EN ENFERMERIA (MELILLA),"77,57","81,13"
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),"43,86","71,01"
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""","56,34","81,4"
"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""","59,99","93,21"
"DIPLOMADO EN GESTION Y ADMINISTRACION PUBLICA ""MELILLA""","59,98","90,48"
GRADO EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),"15,03","36,51"
GRADO EN MAESTRO EN EDUCACION PRIMARIA (MELILLA),"62,35","74,43"
GRADO EN MAESTRO DE EDUCACION INFANTIL (MELILLA),"66,82","79,44"
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),"32,22","59,18"
