TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA
GRADUADO/A EN BIOLOGIA,"73,15","81,51","13,82","97,81"
GRADUADO/A EN ODONTOLOGIA,"88,29","93,58","8,54",
GRADUADO/A EN NUTRICION HUMANA Y DIETETICA,"86,78","91,83","13,4","98,18"
GRADUADO/A EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,"72,47","79,74","19,67",
GRADUADO/A EN FARMACIA,"65,83","75,37","14,66",
GRADUADO/A EN INGENIERIA ELECTRONICA INDUSTRIAL,"64,46","75,93","18,75",
GRADUADO/A EN CIENCIAS AMBIENTALES,"59,43","71,13","35,11","95,36"
GRADUADO/A EN ENFERMERIA,"94,58","96,8","15,56","98,19"
GRADUADO/A EN GEOGRAFIA Y GESTION DEL TERRITORIO,"69,75","78,99","22,22","97,96"
GRADUADO/A EN ARQUITECTURA,"68,25","81,73","20,92",
GRADUADO/A EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,"67,49","79,71","49,32","95,3"
GRADUADO/A EN CIENCIAS POLITICAS Y DE LA ADMINIST. Y DERECHO,"63,44","75,79","26,32",
GRADUADO/A EN SOCIOLOGIA,"70,35","82,23","35,17","97,56"
GRADUADO/A EN INGENIERIA QUIMICA,"58,08","70,52","36,61","98,52"
GRADUADO/A EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,"71,78","81,13","10,1","97,92"
GRADUADO/A EN MEDICINA,"93,25","95,97","3,64",
GRADUADO/A EN ESTADISTICA,"55,86","70,85","51,02","94,61"
GRADUADO/A EN COMUNICACION AUDIOVISUAL,"94,14","98,13","1,61","98,02"
GRADUADO/A EN ADMINISTRACION Y DIRECCION DE EMPRESAS-DERECHO,"85,65","90,25","7,91",
GRADUADO/A EN EDIFICACION,"63,29","77,95","25,64","95,94"
GRADUADO/A EN INFORMACION Y DOCUMENTACION,"82,1","88,38","23,91","96,95"
GRADUADO/A EN FINANZAS Y CONTABILIDAD,"70,08","76,87","14,17","97,08"
GRADUADO/A EN ADMINISTRACION Y DIRECCION DE EMPRESAS,"72,85","81,6","9,96","97,53"
GRADUADO/A EN MARKETING E INVESTIGACION DE MERCADOS,"73,54","80,74","20,33","95,51"
GRADUADO/A EN INGENIERIA CIVIL,"61,39","75,37","13,54","97,06"
GRADUADO/A EN TURISMO,"81,09","87,3","12,12","95,85"
GRADUADO/A EN ECONOMIA,"64,89","74,99","16,67","94,86"
GRADUADO/A EN FISIOTERAPIA,"89,27","96,69","15,38","98,26"
GRADUADO/A EN DERECHO,"70,5","79,96",17,"95,4"
GRADUADO/A EN TERAPIA OCUPACIONAL,"94,74","97,14","16,67","97,56"
GRADUADO/A EN EDUCACION SOCIAL,"94,53","96,51","6,56","98,97"
GRADUADO/A EN CRIMINOLOGIA,"94,46","97,34",,
GRADUADO/A EN TRABAJO SOCIAL,"90,49","94,43","10,06","98,61"
GRADUADO/A EN TRADUCCION E INTERPRETACION,"87,58","93,16","8,27","97,41"
GRADUADO/A EN EDUCACION PRIMARIA (BILINGÜE),"93,66","95,3","7,58",
GRADUADO/A EN EDUCACION PRIMARIA,"90,95","94,77","12,09","97,59"
GRADUADO/A EN EDUCACION INFANTIL,"95,54","97,9","6,02","98,53"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"71,14","81,09","24,5","95,89"
GRADUADO/A EN BELLAS ARTES,85,"95,73","14,81","98,91"
GRADUADO/A EN BIOQUIMICA,"94,69","96,11","13,89","97,1"
GRADUADO/A EN FILOSOFIA,"67,25","84,59","52,63","95,07"
GRADUADO/A EN PSICOLOGIA,"85,43","90,86","6,9","97,78"
GRADUADO/A EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,"91,17","95,71","22,45","98,28"
GRADUADO/A EN ARQUEOLOGIA,"75,36","88,44",,
GRADUADO/A EN FISICA,"62,18","77,55","36,26","98,51"
GRADUADO/A EN GEOLOGIA,"60,67","71,78","37,7","96,67"
GRADUADO/A EN MATEMATICAS,"66,26","75,25","35,35","98,12"
GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"80,16","89,12","13,7","98,7"
GRADUADO/A EN FILOLOGIA CLASICA,"63,98","76,14","40,91","97,04"
GRADUADO/A EN ESTUDIOS FRANCESES,"70,41","80,97","28,77","96,64"
GRADUADO/A EN ESTUDIOS ARABES E ISLAMICOS,"68,48","87,18","47,37",
GRADUADO/A EN FILOLOGIA HISPANICA,"83,4","91,48","8,45",98
GRADUADO/A EN ESTUDIOS INGLESES,"75,26","82,98","15,28","97,45"
GRADUADO/A EN LOGOPEDIA,"92,29","93,96","11,94","98,61"
GRADUADO/A EN OPTICA Y OPTOMETRIA,"69,14","73,39","17,89","97,52"
GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,"86,97","92,46","6,99","96,65"
GRADUADO/A EN LITERATURAS COMPARADAS,"72,36","90,19","29,41","99,79"
GRADUADO/A EN QUIMICA,"63,62","76,22","30,12","96,89"
GRADUADO/A EN HISTORIA,"73,68","86,15","20,67","96,74"
GRADUADO/A EN HISTORIA DEL ARTE,"75,11","86,21","35,51","97,22"
GRADUADO/A EN ANTROPOLOGIA SOCIAL Y CULTURAL,"70,78","85,9","21,15",
GRADUADO/A EN INGENIERIA INFORMATICA,"57,76","72,03","53,47","95,35"
GRADUADO/A EN INGENIERIA INFORMATICA Y MATEMATICAS,"67,51","77,65","34,78",
GRADUADO/A EN PEDAGOGIA,"94,03","97,15","14,56","98,54"
GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MUSICA,"79,68","91,97","24,24","97,74"
GRADUADO/A EN ENFERMERIA (CEUTA),"90,13","93,94","14,48","93,77"
GRADUADO/A EN EDUCACION SOCIAL (CEUTA),"85,48","91,45","16,9",
GRADUADO/A EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),"81,31","90,14","13,33","98,77"
GRADUADO/A EN EDUCACION PRIMARIA (CEUTA),78,"87,3","18,46","94,05"
GRADUADO/A EN EDUCACION INFANTIL (CEUTA),"86,21","92,79","8,33","96,17"
GRADUADO/A EN INGENIERIA INFORMATICA (CEUTA),"47,59","68,52","11,11",
GRADUADO/A EN ENFERMERIA (MELILLA),"89,71","92,47","12,7","96,52"
GRADUADO/A EN EDUCACION SOCIAL (MELILLA),"79,83","85,78",20,
GRADUADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),"61,18","75,96","47,92","90,62"
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""","56,67","91,07",,
"DIPLOMATURA DE RELACIONES LABORALES ""MELILLA""",100,100,,
"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",,,,
"DIPLOMADO EN GESTION Y ADMINISTRACION PUBLICA ""MELILLA""","80,33","80,33",,
GRADUADO/A EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),"68,17","85,55",30,"97,56"
GRADUADO/A EN EDUCACION PRIMARIA (MELILLA),"78,5","85,13","22,73","95,15"
GRADUADO/A EN EDUCACION INFANTIL (MELILLA),"86,93","92,75","24,24","97,13"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"75,65","87,28",40,"80,81"
