AREA,TITULO,2011,2012,2013,2014,2015
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,1,1,1,1,1
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,2,3,3,3,4
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,3,2,2,2,2
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,4,5,5,7,5
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,5,7,11,12,12
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,6,11,8,4,7
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,7,4,4,5,3
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,8,6,6,6,6
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,9,10,10,11,9
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,10,9,9,10,8
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,11,12,12,9,11
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,12,14,13,14,14
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,13,8,7,8,10
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,14,13,14,13,13
CIENCIAS,GRADUADO/A EN BIOLOGÍA,1,2,2,2,2
CIENCIAS,GRADUADO/A EN BIOQUÍMICA,2,1,1,1,1
CIENCIAS,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,3,3,5,6,8
CIENCIAS,GRADUADO/A EN FÍSICA,4,6,4,3,6
CIENCIAS,GRADUADO/A EN CIENCIAS AMBIENTALES,5,7,7,8,7
CIENCIAS,GRADUADO/A EN QUÍMICA,6,5,6,4,3
CIENCIAS,GRADUADO/A EN ESTADÍSTICA,7,9,8,9,5
CIENCIAS,GRADUADO/A EN GEOLOGÍA,8,8,9,7,9
CIENCIAS,GRADUADO/A EN MATEMÁTICAS,9,4,3,5,4
CIENCIAS DE LA SALUD,GRADUADO/A EN FISIOTERAPIA,1,2,1,3,1
CIENCIAS DE LA SALUD,GRADUADO/A EN MEDICINA,2,1,4,4,3
CIENCIAS DE LA SALUD,GRADUADO/A EN ENFERMERÍA,3,4,2,2,2
CIENCIAS DE LA SALUD,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,4,7,7,9,10
CIENCIAS DE LA SALUD,GRADUADO/A EN PSICOLOGÍA,5,8,9,10,8
