CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL
200,GRADUADO/A EN BIOLOGÍA,"72,25","79,94","13,18"
201,GRADO EN ODONTOLOGÍA,"87,19","91,78","12,66"
202,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"87,01","90,95","8,08"
203,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"76,54","81,49",
204,GRADUADO/A EN FARMACIA,"65,83","75,67","10,49"
205,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"57,92","72,43",
206,GRADUADO/A EN CIENCIAS AMBIENTALES,"56,33","68,33","27,82"
207,GRADUADO/A EN ENFERMERÍA,"91,87","95,86","14,4"
208,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"64,68","76,71","27,27"
209,GRADUADO/A EN ARQUITECTURA,"65,29","79,62","16,03"
210,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"81,96","93,08",
212,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"65,94","78,37","31,76"
213,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"73,76","83,22","27,27"
214,GRADUADO/A EN SOCIOLOGÍA,"73,11","82,94","34,09"
220,GRADUADO/A EN INGENIERÍA QUÍMICA,"60,58","70,46","32,43"
221,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,59","81,01","15,05"
222,GRADUADO/A EN MEDICINA,"92,67","95,35","2,89"
223,GRADUADO/A EN ESTADÍSTICA,"55,33","67,73","45,9"
227,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"93,05","95,98","10,77"
228,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,"82,95","87,98","13,04"
230,GRADUADO/A EN EDIFICACIÓN,"60,29","74,1","13,24"
231,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"78,75","86,64","27,94"
233,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"67,77","74,1","8,8"
235,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"75,65","81,28","7,2"
236,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"73,69","78,91","10,08"
237,GRADUADO/A EN INGENIERÍA CIVIL,"61,61","74,69","7,49"
238,GRADUADO/A EN TURISMO,"84,45","89,55","11,85"
239,GRADUADO/A EN ECONOMÍA,"65,24","74,03","15,06"
241,GRADUADO/A EN FISIOTERAPIA,"90,9","96,11","7,84"
242,GRADUADO/A EN DERECHO,"67,74","78,14","10,63"
243,GRADUADO/A EN TERAPIA OCUPACIONAL,"92,7","95,58","12,07"
244,GRADUADO/A EN EDUCACIÓN SOCIAL,"93,67","96,04","5,69"
245,GRADUADO/A EN CRIMINOLOGÍA,"91,2","96,26",
249,GRADUADO/A EN TRABAJO SOCIAL,"91,12","94,58","9,66"
252,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,"84,42","91,36","6,75"
256,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),"93,38","95,27",
257,GRADUADO/A EN EDUCACIÓN PRIMARIA,"90,4","93,26","8,63"
258,GRADUADO/A EN EDUCACIÓN INFANTIL,"95,96","97,82","9,34"
259,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,"72,75","80,81","17,33"
260,GRADUADO/A EN BELLAS ARTES,"85,22","94,91","13,51"
261,GRADUADO/A EN BIOQUÍMICA,"90,83","92,91","14,29"
263,GRADUADO/A EN FILOSOFÍA,"69,79","84,43","33,33"
264,GRADUADO/A EN PSICOLOGÍA,"83,2","88,43","6,64"
265,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"87,76","94,28","13,21"
267,GRADUADO/A EN FÍSICA,"56,63","74,73","26,25"
268,GRADUADO/A EN GEOLOGÍA,"53,08","65,31","38,24"
270,GRADUADO/A EN MATEMÁTICAS,"64,39","76,24","33,33"
273,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"79,01","88,75","21,05"
276,GRADUADO/A EN FILOLOGÍA CLÁSICA,"72,4","82,47","47,37"
277,GRADUADO/A EN ESTUDIOS FRANCESES,"68,24","79,28","31,43"
279,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,"73,5","86,63","35,48"
283,GRADUADO/A EN FILOLOGÍA HISPÁNICA,"79,14","88,95","26,09"
285,GRADUADO/A EN ESTUDIOS INGLESES,"75,06","83,71","11,43"
286,GRADUADO/A EN LOGOPEDIA,"93,71","94,32","25,81"
287,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"66,39","71,3","9,17"
288,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"85,82","91,07","9,24"
290,GRADUADO/A EN LITERATURAS COMPARADAS,"67,8","86,69","40,63"
291,GRADUADO/A EN QUÍMICA,"56,67","70,48","20,51"
292,GRADUADO/A EN HISTORIA,"73,33","85,6","23,03"
293,GRADUADO/A EN HISTORIA DEL ARTE,"70,73","82,81","29,29"
294,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"74,23","85,21",
296,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"50,99","68,19","30,97"
297,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"57,98","71,77",
298,GRADUADO/A EN PEDAGOGÍA,"92,87","96,14","16,39"
