CODIGO,CURSO,TITULO,TASA ABANDONO
200,2011,GRADUADO/A EN BIOLOGÍA,
200,2012,GRADUADO/A EN BIOLOGÍA,
200,2013,GRADUADO/A EN BIOLOGÍA,
200,2014,GRADUADO/A EN BIOLOGÍA,
200,2015,GRADUADO/A EN BIOLOGÍA,30
201,2011,GRADUADO/A EN ODONTOLOGÍA,
201,2012,GRADUADO/A EN ODONTOLOGÍA,
201,2013,GRADUADO/A EN ODONTOLOGÍA,
201,2014,GRADUADO/A EN ODONTOLOGÍA,
201,2015,GRADUADO/A EN ODONTOLOGÍA,
202,2011,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2012,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2013,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2014,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2015,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"31,31"
203,2012,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
203,2013,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
203,2014,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
203,2015,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
204,2011,GRADUADO/A EN FARMACIA,
204,2012,GRADUADO/A EN FARMACIA,
204,2013,GRADUADO/A EN FARMACIA,
204,2014,GRADUADO/A EN FARMACIA,
204,2015,GRADUADO/A EN FARMACIA,
205,2012,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
205,2013,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
205,2014,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
205,2015,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
206,2011,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2012,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2013,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2014,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2015,GRADUADO/A EN CIENCIAS AMBIENTALES,"47,37"
207,2011,GRADUADO/A EN ENFERMERÍA,
207,2012,GRADUADO/A EN ENFERMERÍA,
207,2013,GRADUADO/A EN ENFERMERÍA,
207,2014,GRADUADO/A EN ENFERMERÍA,
207,2015,GRADUADO/A EN ENFERMERÍA,"23,2"
208,2011,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2012,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2013,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2014,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2015,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"50,91"
209,2011,GRADUADO/A EN ARQUITECTURA,
209,2012,GRADUADO/A EN ARQUITECTURA,
209,2013,GRADUADO/A EN ARQUITECTURA,
209,2014,GRADUADO/A EN ARQUITECTURA,
209,2015,GRADUADO/A EN ARQUITECTURA,
