CODIGO,CURSO,TITULO,TASA ABANDONO INICIAL
200,2011,GRADUADO/A EN BIOLOGÍA,
200,2012,GRADUADO/A EN BIOLOGÍA,
200,2013,GRADUADO/A EN BIOLOGÍA,"13,18"
200,2014,GRADUADO/A EN BIOLOGÍA,"13,82"
200,2015,GRADUADO/A EN BIOLOGÍA,"12,27"
201,2011,GRADUADO/A EN ODONTOLOGÍA,
201,2012,GRADUADO/A EN ODONTOLOGÍA,
201,2013,GRADUADO/A EN ODONTOLOGÍA,"12,66"
201,2014,GRADUADO/A EN ODONTOLOGÍA,"8,54"
201,2015,GRADUADO/A EN ODONTOLOGÍA,"10,26"
202,2011,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2012,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,
202,2013,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"8,08"
202,2014,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"13,4"
202,2015,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"9,47"
203,2012,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
203,2013,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,
203,2014,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"19,67"
203,2015,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"11,94"
204,2011,GRADUADO/A EN FARMACIA,
204,2012,GRADUADO/A EN FARMACIA,
204,2013,GRADUADO/A EN FARMACIA,"10,49"
204,2014,GRADUADO/A EN FARMACIA,"14,66"
204,2015,GRADUADO/A EN FARMACIA,"8,82"
205,2012,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
205,2013,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,
205,2014,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"18,75"
205,2015,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"17,19"
206,2011,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2012,GRADUADO/A EN CIENCIAS AMBIENTALES,
206,2013,GRADUADO/A EN CIENCIAS AMBIENTALES,"27,82"
206,2014,GRADUADO/A EN CIENCIAS AMBIENTALES,"35,11"
206,2015,GRADUADO/A EN CIENCIAS AMBIENTALES,"34,07"
207,2011,GRADUADO/A EN ENFERMERÍA,
207,2012,GRADUADO/A EN ENFERMERÍA,
207,2013,GRADUADO/A EN ENFERMERÍA,"14,4"
207,2014,GRADUADO/A EN ENFERMERÍA,"15,56"
207,2015,GRADUADO/A EN ENFERMERÍA,"13,43"
208,2011,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2012,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,
208,2013,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"27,27"
208,2014,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"22,22"
208,2015,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,20
209,2011,GRADUADO/A EN ARQUITECTURA,
209,2012,GRADUADO/A EN ARQUITECTURA,
