CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
200,2011,GRADUADO/A EN BIOLOGÍA,"72,57","82,68",,,,
200,2012,GRADUADO/A EN BIOLOGÍA,"66,56","75,84",,,,
200,2013,GRADUADO/A EN BIOLOGÍA,"72,25","79,94","13,18",,,
200,2014,GRADUADO/A EN BIOLOGÍA,"73,15","81,51","13,82","97,81",,
200,2015,GRADUADO/A EN BIOLOGÍA,"74,02","83,12","12,27",98,"32,73",30
201,2011,GRADUADO/A EN ODONTOLOGÍA,"75,58","85,5",,,,
201,2012,GRADUADO/A EN ODONTOLOGÍA,"88,11","93,19",,,,
201,2013,GRADUADO/A EN ODONTOLOGÍA,"87,19","91,78","12,66",,,
201,2014,GRADUADO/A EN ODONTOLOGÍA,"88,29","93,58","8,54",,,
201,2015,GRADUADO/A EN ODONTOLOGÍA,"89,42","94,77","10,26","97,43",,
202,2011,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"84,97","92,61",,,,
202,2012,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"85,21","91,59",,,,
202,2013,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"87,01","90,95","8,08",,,
202,2014,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,"86,78","91,83","13,4","98,18",,
202,2015,GRADUADO/A EN NUTRICIÓN HUMANA Y DIETÉTICA,84,"89,4","9,47","98,54","50,51","31,31"
203,2012,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"58,87","70,87",,,,
203,2013,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"76,54","81,49",,,,
203,2014,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"72,47","79,74","19,67",,,
203,2015,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,"75,4","82,27","11,94","94,28",,
204,2011,GRADUADO/A EN FARMACIA,"64,13","74,72",,,,
204,2012,GRADUADO/A EN FARMACIA,"64,45","75,03",,,,
204,2013,GRADUADO/A EN FARMACIA,"65,83","75,67","10,49",,,
204,2014,GRADUADO/A EN FARMACIA,"65,83","75,37","14,66",,,
204,2015,GRADUADO/A EN FARMACIA,"63,37","75,34","8,82","97,15",,
205,2012,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"53,88","65,84",,,,
205,2013,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"57,92","72,43",,,,
205,2014,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"64,46","75,93","18,75",,,
205,2015,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,"66,97","77,88","17,19","96,64",,
206,2011,GRADUADO/A EN CIENCIAS AMBIENTALES,"48,61","63,44",,,,
206,2012,GRADUADO/A EN CIENCIAS AMBIENTALES,"54,03","68,52",,,,
206,2013,GRADUADO/A EN CIENCIAS AMBIENTALES,"56,33","68,33","27,82",,,
206,2014,GRADUADO/A EN CIENCIAS AMBIENTALES,"59,43","71,13","35,11","95,36",,
206,2015,GRADUADO/A EN CIENCIAS AMBIENTALES,59,"72,26","34,07","93,75","16,54","47,37"
207,2011,GRADUADO/A EN ENFERMERÍA,"81,88","93,46",,,,
207,2012,GRADUADO/A EN ENFERMERÍA,"88,25","94,51",,,,
207,2013,GRADUADO/A EN ENFERMERÍA,"91,87","95,86","14,4",,,
207,2014,GRADUADO/A EN ENFERMERÍA,"94,58","96,8","15,56","98,19",,
207,2015,GRADUADO/A EN ENFERMERÍA,"93,17","96,25","13,43","98,61",72,"23,2"
208,2011,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"56,38","74,13",,,,
208,2012,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"60,46","69,61",,,,
208,2013,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"64,68","76,71","27,27",,,
208,2014,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"69,75","78,99","22,22","97,96",,
208,2015,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,"71,16","80,63",20,"97,78","18,18","50,91"
209,2011,GRADUADO/A EN ARQUITECTURA,"63,67","75,95",,,,
209,2012,GRADUADO/A EN ARQUITECTURA,"61,73","74,14",,,,
209,2013,GRADUADO/A EN ARQUITECTURA,"65,29","79,62","16,03",,,
209,2014,GRADUADO/A EN ARQUITECTURA,"68,25","81,73","20,92",,,
209,2015,GRADUADO/A EN ARQUITECTURA,"68,71","81,95","15,89","94,54",,
210,2012,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"86,67","96,3",,,,
210,2013,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"81,96","93,08",,,,
210,2015,GRADO EN INGENIERÍA EN EDIFICACIÓN (CURSO PUENTE),"40,82","64,52",,,,
212,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"59,5","73,41",,,,
212,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"55,55","70,53",,,,
212,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"65,94","78,37","31,76",,,
212,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"67,49","79,71","49,32","95,3",,
212,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,"68,07","80,66","36,3","99,38","19,05","48,3"
213,2011,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,51","81,18",,,,
213,2012,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,4","81,45",,,,
213,2013,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"73,76","83,22","27,27",,,
213,2014,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"63,44","75,79","26,32",,,
213,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,47","80,03","21,38",,,
214,2011,GRADUADO/A EN SOCIOLOGÍA,"56,41","72,13",,,,
214,2012,GRADUADO/A EN SOCIOLOGÍA,"66,78","78,55",,,,
214,2013,GRADUADO/A EN SOCIOLOGÍA,"73,11","82,94","34,09",,,
