Capítulo,Artículo,Concepto,Denominación,Importe
Capítulo 1º. Gastos de personal,Artículo 11. Personal eventual,110,Personal eventual,360000
Capítulo 1º. Gastos de personal,Artículo 12. Funcionarios,120,Funcionarios. Retribuciones básicas,55394152
Capítulo 1º. Gastos de personal,Artículo 12. Funcionarios,121,Funcionarios. Retribuciones complementarias,82164825
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,130,Personal laboral,17386596
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,131,Personal labora. Otras remuneraciones,40840692
Capítulo 1º. Gastos de personal,Artículo 13. Laborales,134,Personal laboral eventual,2140000
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,143,Personal colaboración social,300000
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,145,Retribuciones Asociados (LRU),25481
Capítulo 1º. Gastos de personal,Artículo 14. Otro Personal,146,Retribuciones Asociados Ciencias de la Salud (LRU),484861
Capítulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,24789216
Capítulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,151,Gratificaciones,3000
Capítulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",160,Cuotas Sociales,30574498
Capítulo 1º. Gastos de personal,"Artículo 16. Cuotas, prestaciones y gastos sociales",162,Prestaciones y gastos sociales del personal,6099331
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendtº edificios y otros,17068
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendamiento maquinaria, instalaciones y utillaje",17068
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendamiento material de transporte,1707
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendamiento mobiliario y enseres,17068
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendamiento equipo de informática,1707
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendamiento otro inmovilizado material,1707
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,341361
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",341361
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,1707
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,128011
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,128011
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de orficina,1365446
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,2188980
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",222,Comunicaciones,85340
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",223,Transportes,213351
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",224,Primas de seguros,51204
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",225,Tributos,170681
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",226,Gastos diversos,2456315
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros","226,01",Atenciones protocolarias y de representación,256021
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",227,Trabajos realizados por otras empresas,768063
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,230,Dietas,768063
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 23. Indemnizaciones por razón del servicio,231,Locomoción,682724
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,480,Becas y ayudas propias a estudiantes,1540000
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,03",A Asociaciones estudiantiles,120000
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,04",Plan Propio Prácticas en Empresas y Entidades,883772
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"480,08",Plan Propio de Ayudas Sociales a Estudiantes,190000
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,483,Becas programas europeos,12958140
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,484,Convenios con otras instituciones,3000
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"485,05",Otros Planes de Apoyo Junta de Andalucía,775971
Capítulo 4º. Transferencias corrientes,Artículo 48. A Familias e instituciones sin fines de lucro,"490,11",Cuotas y contribuc.organismos internacionales,25000
Capítulo 6º. Inversiones reales,Artículo 60. Inversiones de carácter material,608,Inversiones bibliográficas,125000
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,642,Programas de movilidad y promoción lingüística,90000
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,644,Plan de Calidad e Innovación,250000
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,645,Actuaciones Fomento de empleo,94572
Capítulo 6º. Inversiones reales,Artículo 64. Inversiones de carácter inmaterial,648,Plan Propio de Internalización,620000
Capítulo 7º. Transferencias de capital,Artículo 78. A Familias e Instituciones sin fines de lucro,"780,05",Plan Propio para Promoción del Autoempleo,200000
Capítulo 8º. Activos financieros,Artículo 83. Concesión de préstamos,831,Anticipos y préstamos a personal Universidad,650000
Capítulo 8º. Activos financieros,Artículo 83. Concesión de préstamos,"831,01",Línea especial de anticipos,0
Capítulo 9º. Pasivos financieros,Artículo 91. Amortización de deuda pública,911,Amortiz. Préstamos a largo plazo. Sector público,0
Capítulo 9º. Pasivos financieros,Artículo 91. Amortización de deuda pública,913,Amortiz. Préstamos a largo plazo. Sector privado,0
